Tweet,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
or go to food services but either way corporate need tosend them some damn sauce,3,4,2,2,4,2,3,3,2,3,4,3
I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can,4,3,3,4,2,3,2,1,1,4,2,2
NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose,3,4,2,2,3,2,1,2,1,3,3,2
My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn,2,3,1,1,4,1,4,4,3,2,5,3
"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions",2,4,2,1,4,1,4,3,3,2,5,3
I got the jack wat else I need sugar wats dem pebblesthat be in that shit,2,3,2,1,3,1,4,3,3,2,5,3
"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla",2,3,3,2,3,1,4,3,3,2,5,3
Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro,2,3,3,2,3,1,4,3,3,2,4,3
I think it's a raccon or possum walkin round my house I'mscared ass shit rite now,2,3,1,3,1,1,4,1,3,2,5,3
Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh,3,2,2,2,3,1,3,3,2,2,4,3
2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash,3,2,3,2,2,1,3,2,2,2,4,3
Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!,2,3,1,1,4,1,3,5,3,2,5,2
I jus call boo and she finished Skool she drink andshe smoke my reefer too...,2,3,3,2,3,1,4,3,3,2,5,4
Bout to see like 40 plates on the gram get meheated I'm starving like shit,2,3,2,1,3,1,3,3,3,2,4,3
"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.",2,3,2,1,4,1,3,4,3,2,5,3
70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .,2,3,3,2,2,1,4,2,3,2,4,3
"Continuing the same way, they announced the arrival of my train after itpulls off, so not happy",3,2,2,2,3,2,3,3,2,3,3,2
Females be get they self into street shit but wen somebody put pressure on theyass they tell the police,2,3,2,1,4,1,3,4,3,2,5,2
"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.",3,4,2,2,3,2,2,2,2,3,3,2
i had no choice ! Like i was already all into the tvand couldn't look away lol,3,2,4,3,1,2,3,2,2,3,4,4
"When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair""",2,3,3,2,3,2,3,3,3,2,4,3
It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho,3,4,2,1,4,2,3,4,2,3,4,2
"Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her belland kiss her in mouth",2,3,2,1,3,1,4,4,3,2,5,2
She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...,2,3,2,1,4,1,4,4,3,2,5,3
Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.,2,3,2,1,4,1,3,4,3,2,4,2
middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol,2,3,2,2,4,1,4,3,3,2,5,3
Sadly so many HS has crippled these players academically that evenJUCO is hard for them...,3,2,3,2,2,2,2,2,1,3,3,1
tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games),3,4,2,2,3,2,4,3,3,2,4,3
U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?,2,4,1,1,5,1,3,4,3,2,5,2
"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.",3,4,2,1,4,2,2,5,2,3,4,2
I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...,3,4,2,3,2,2,2,2,1,3,4,3
"Ladies, the older you are in the ""game"" the more Bullshit urgonna have to sift thru...",3,4,2,2,4,2,2,3,2,3,4,2
Sick of going to this dealership for random lights going out...BUT I do lovea free truck wash. *bling*,3,3,3,3,2,2,2,2,2,3,3,2
1/2 of what you want > Zero of what you want.But its mean if vocalized,4,3,3,2,3,4,2,3,1,4,2,2
Bill collectors take fractions of debt on the dollar sometimes...and I don't expect u 2agree about the RS ish...,3,3,3,2,2,2,3,2,2,2,3,2
Fucking WhERE?!!!! T So its a store that will sell U 4fifth of Patron for 49.99,2,4,1,1,5,1,3,5,3,2,5,2
immediately go back to hotel and hope u aint got TOO many jerks on ur team dat playthe replay on they ipads.,2,3,2,1,4,1,3,4,3,2,5,3
Shame on ALL you women that has sent off the Shape Challenged womenof the world...shame on yall.,2,3,1,1,4,1,3,4,3,2,4,2
On way 2 gym to sweat the rest of this bug out...can't beconducting workshops looking all sick,3,4,3,2,2,2,2,2,1,3,3,1
we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.,2,4,2,1,3,1,3,4,3,2,5,1
yea u know with groupon they jus give u dat breadback to get sumthing else...,2,3,4,3,1,1,3,2,2,2,4,3
Sooo the other business units sending emails to IT while wein conference cuz they out...smh,3,2,2,2,3,2,3,3,2,2,4,3
Kelly is a Fast ass Heffa...and we love it! Let her set dat poon out...We lovingher direction right now lol,2,3,2,1,4,1,3,4,3,2,5,3
it doesn't work when u work everyday and dem bums sitting in ur hood watching YOURshit u worked hard for.,2,4,1,1,4,1,3,4,2,2,5,1
Can you do what you doing right now...3 years from now?If not your wasting time.,4,5,3,2,3,3,2,2,1,4,2,1
I can actually beleive the stat...i was just wondering who tooktime to take the poll.,3,2,3,3,1,2,3,2,2,2,3,3
Everytime I ask for a cup for water at a fastfood Joint...I alwaysfill it up with pop,3,4,3,2,2,2,2,3,3,3,4,4
I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my workphone when I gotta Vmail.,3,2,2,2,3,2,3,3,2,3,4,3
I'm more of the service at a soup kitchen..Paint a School type of Community Service kindaguy...I'm not a role model.,3,4,4,4,1,3,2,1,1,3,2,2
I been on auto pay since foreva! Got some 1percent inapr deduction cuz of it.,3,4,4,3,2,2,3,2,2,2,4,3
"I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yeanigga u see it"" lol",3,2,3,2,3,2,3,3,2,3,4,3
Den she so gangsta...she ends convo looks at me for little bite denopens up this bible pamphlet!!!,2,3,2,2,3,1,4,3,3,2,4,3
I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected isgonna be a good pro,3,3,4,3,2,2,2,2,2,3,3,2
I said AD wont be ROY and Barnes was gonna be a Good Pro...and Game wasmore suited for the Pros,3,3,3,2,2,2,2,2,1,3,3,2
that's a recipe for disaster. A woman that won't shut up or sit down. When is that ever gonna getwins? Its less extreme ways.,2,3,2,1,4,1,3,4,3,2,5,2
we can agree 2 disagree. But I'm no advocate to any woman thinking its ok 2 neva shutup and have a seat...,3,4,2,2,4,2,3,4,2,3,4,2
I think every Married woman on my TL is nodding they heads...while thesingle ones aint catching it.,3,2,3,2,2,2,2,3,2,3,3,2
if everyone calmed down before making a decision a lot will be different...But to be fair a woman fussingis annoying as shit lol,3,2,2,2,3,2,2,4,2,3,4,2
let DJ come home and tell me all he did was watch Videos with a Sub and every 1in class aint got books.sheeid,2,3,2,1,4,1,4,4,3,2,5,3
Sometimes dudes holla at chicks dats not that cute cuz they hope she like super attentive and domesticand got untapped good poon.,2,3,3,2,3,1,4,3,3,2,5,3
are u trying to say that getting a white woman will help u be great ifyour a black man? lol,2,1,2,2,3,1,3,3,3,2,4,2
how is that funny? Maybe interaction with you is more immediatly satisfying that those causes...weall aint self righteous bruh,3,2,2,2,3,2,3,3,2,2,4,2
it helps by showin u can be responsible for SELF and thatsthe 1st step before unity.,3,4,3,3,2,2,3,2,2,2,3,2
and thats just one scenrio....its a mille more...hence why the bases shouldbe ...BE A RESPONSIBLE PERSON..Period,3,4,2,2,3,2,3,3,2,2,3,2
how do u understand an analogy and not at same time? Ok lemme try this...ur not a dad...do u think u can speakon it 2 a dad?,2,3,2,2,3,1,4,3,3,2,4,3
was showing all types of baby thigh meat in HS now her future kidscan't be alil fast lol,2,3,2,1,4,1,4,4,3,2,5,3
"Ladies If u EVER used the line ""I'm 2 much woman for u anyway"" to justifyany argument...U a Fat Girl.",2,3,2,1,4,1,3,5,4,2,5,3
Attn is a helleva drug tho...and goofy mogs is raising the priceof it faster than Gold.,3,2,2,2,3,2,3,3,2,2,4,3
"I'm convinced dat Hova lack of thirst, own bread, style nshit made her look over his camelface. Chicks are less shallow...",2,3,2,1,3,1,4,4,3,2,5,3
repeating the last 3 words of my questions back to medoes nuthing ya know lol,2,1,3,2,1,1,4,3,4,2,5,4
It can pan out tho...but dat later in life leap of faith shit is NOT the groove...fuck around andbe damaged goods by 34,3,2.5,2,1,4,2,3,4,2,2,4,3
no country for chicks leaving bread crumps for the ppl theyREALLY wanted to be with,2,3,2,1,4,2,4,4,3,2,4,3
"Pho craving, Mekong Delta closed Mondays so I made faux pho w/ ramen noodles (all eddies has). It's notDelta, but i'm pleasantly surprised.",4,4,4,4,1,3,1,1,1,4,2,2
"oh i dunnno, maybe they are. But they are usually closed mondays, which iswhen I usually want pho",3,2,4,3,1,2,2,1,2,3,3,3
Just had a great conversation with old baltimore about how he used toget drinks at the Stafford.,3,2,4,3,1,3,2,1,1,3,2,2
there should be an en fuego documentary. What was in that burrito thatmade it taste so good?,3,2,4,3,1,2,2,1,2,3,3,2
"With that being said...what do i want more, a nice body or nice hair, cuz it's clear ican't have it all lol",3,2,4,3,1,2,2,1,1,3,3,2
I might need to break out the creamy crack i been trying soodesperately to stay away from,3,4,2,3,2,2,2,1,1,3,3,2
Im all for my ppl leaving Chicago. All I ask is make it aplace I can visit. .,3,3,4,3,2,2,2,2,1,3,3,2
Just found out that my auntie BBQ and my fat ass just ate. I'm headed togo get me a rib,2,4,3,2,1,1,3,2,3,2,4,3
I think in going to make a trip up to Roosevelt... Justto see if anything changed,3,4,4,3,1,2,2,1,1,3,3,2
I was a little cranky lol. I haven't been gettin any sleeplately but I'm str8 now,3,3,2,3,2,2,2,1,1,3,3,2
So he said he was going to call me back sohe can get on IG,2,2,3,2,3,1,4,3,3,2,4,3
"Did anybody hear Momma Dee commercial on 107.5.???? Why did she say ""Whenever I'min the State of Detroit""",3,2,3,3,2,2,3,2,2,3,3,2
I'm a full time worker and a full time student.... Do I really have timefor a boyfriend.??? Uhhhhhh.... NO,4,5,3,3,2,3,2,2,1,4,2,1
My cousin texted me yesterday and asked me when I was coming back to Florida. I told her sooncause I need to gtfo,3,4,2,2,3,2,2,3,2,3,4,3
"Reading through Neh 12 this morning with my man, Joshua. He spit up while I was reading the names ofthe priests & Levites. Hmmm...",3,3,4,3,1,2,2,1,1,3,3,2
"Don""t miss the kickoff of our new series The Red Letters! 9 & 10:30 this morningat Greater Gresham Baptist Church",3,4,3,4,1,2,1,1,1,3,3,1
"'s message ""I will give you rest"" must of worked last night - found stress ball under a chair inthe worship center this morning.",3,2,3,3,1,2,3,1,2,2,3,2
"""Spire installed on New York's One World Trade Center brings it to 1,776 feet, tallest buildingin Western Hemisphere."" -- CNN",4,3,4,4,1,4,1,1,1,4,1,1
if you everhave the time to message me back because everyone says I sound like the both of you when Irap just want to talk,3,4,2,3,1,2,3,1,2,2,3,2
that moment wen sumone tryna talk to yhu ....nd yhu tell them yhu a lesbian nd theytry even harder! like wtf.!,3,4,2,2,3,2,3,3,2,2,4,3
Brian would you consider being in a long distance relationship if youwere interested in that person,3,4,4,4,1,3,1,1,1,4,2,2
I been waiting on a new debit card all week! Seem like it goes slower when they knowyou got money to spend,3,2,2,2,3,2,2,3,2,3,4,2
Whenever ppl lose too much weight too quick ppl automatically think one of two things. They'reeither smoking or sick lol,3,2,4,3,2,2,2,2,2,3,3,2
It's gon' be 93 degrees today! We just skipped Spring andwent straight to Summer smh,3,2,3,3,2,2,2,2,2,3,3,2
I can't just go eat pork like I used to. It's been toolong. I get the point,3,2.5,4,3,2,3,2,2,1,3,2,2
It's bout to storm. They interrupting the tv shows. Y'all know mytheory. Lol must be serious,3,2,3,3,2,2,3,2,2,2,4,3
I see now why ppl just get cheese pizza. It's wayless work... and safer lol,3,2,4,3,1,2,2,1,1,3,3,4
"I can be a crazy bitch. I'll admit it. But I can alsobe the sweetest person, ever.",3,4,2,3,4,3,2,3,2,4,3,2
"Mind at peace every nite, that means something to many with themost unsatisfying commitments to make.",3,2,4,3,1,3,2,1,1,2,2,2
just got done listen to that junt . had that shit bumpin inher lil whip . .,2,3,3,2,3,1,3,3,2,2,4,3
"Sex: it's between the two people, respectfully take advantage of each otherfor those couple of minutes",3,4,3,2,3,2,2,3,2,3,3,2
Nate is 5'8. Bron is 6'8 of course he will hit him in the face. He's under him. TheNBA is so fucking gay.,2,3,1,1,4,1,3,5,4,2,5,3
"One thing I never was, was afraid to approach women. It be a lot of single bad chicks out herecause niccas can't speak. Simple.",3,4,3,2,3,2,2,3,2,3,4,2
"Why Mother's Day gotta be the day after Graduation I can't shine for 48 hours lol jk Ilove my mama"" lmaoo petty",3,2,3,3,2,2,2,2,2,3,3,2
If that all it takes for him to be done then it wasFORREAL in the first place,3,4,2,2,3,2,3,3,2,2,4,2
I guess not celebrating her b day cause she hasn't saidnot one thing about it,3,2,3,2,2,2,3,2,2,2,3,3
idk what the nail shop be doing either cause when I let someone else dothem I still have some,2,2,3,2,1,1,4,2,3,2,4,3
"Chan mad cuz the Lakers not in playoffs...I wonder who he will cheerfor when Kobe retire!"" Lmao",2,3,2,1,4,1,2,4,3,2,4,3
"BeeJay a mess. I know a couple females that need todo a ""big chop"" ASAP",2,3,2,1,4,1,3,4,3,2,5,3
"I was like O_o ""oh, that's nice. What's that?"" She was like ""a 3 piece chickenwing and a biscuit"" lmao",3,2,3,3,1,2,3,2,2,2,4,3
lol sorry. Haven't had my coffee yet. I deserved that. I assume my rainwill consist of Canadian pennies?,3,2,3,4,1,2,3,1,2,3,3,2
I think a couple of burnt hot dogs and brats shallbe in my near future.,3,2,4,3,1,2,2,1,2,3,4,3
"yes. My humble opinion though. Mos Def ""Thieves of the Night""verse is up there too.",4,3,4,4,1,4,1,1,1,4,1,2
"seriously though, we often confuse arguing with debating. I feel that men/women don't debateenough and argue too much.",4,3,4,4,2,4,1,1,1,4,1,1
"I can't even yell properly. My voice cracks. Smh"" just stick your finger in yournose. That wins most arguments.",3,2,2,1,3,2,3,4,3,2,4,3
what's the classy ratchet move for this evening? I only brought myratchet personality with me today,3,2,2,2,3,2,3,3,2,3,4,3
"I don't even wanna give her hell her jokes too lite"" your jokeslighhhhhht DICKHEAD no neck ass",2,3,1,1,5,1,3,5,3,2,5,2
And If She Trynna Tell Me Im The. Only One Thts Hittin I Say Wht About Them Niggas SheSay Wht About Them Niggas,2,3,2,1,4,1,3,4,3,2,5,3
"Paul George ain't bout that life 4real tho"" u crazy thatnigga go hard bro lol",2,3,2,1,4,1,3,4,3,2,5,3
"Everytimee They Together She Open Her Mouth To Say ""The Way He Had Me Feeling "" Tf Kindaa Way DidYouu Have Her Feeling ?",2,3,2,2,3,1,4,3,3,2,4,3
