Row,Original Index,Text,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
17,18,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE
",2,3,1,1,4,1,2,5,2,2,4,2
18,19,"There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
",4,3,2,3,2,4,1,2,1,5,2,2
19,17,"My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs
",2,3,1,1,4,2,3,3,1,2,3,2
20,20,"I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
",4,4,3,4,2,3,2,2,2,4,2,2
21,22,"I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
",3,4,2,3,1,2,4,1,2,3,3,2
22,21,"I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap
",4,3,2,4,1,3,2,1,1,3,2,4
23,27,"I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!
",3,2,2,2,3,2,2,2,1,3,3,2
24,23,"Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!
",4,5,2,3,4,3,2,3,2,4,2,2
25,26,"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.
",4,5,3,2,4,3,1,2,2,4,2,1
26,24,"Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.
",4,3,2,3,2,3,2,2,2,4,2,2
27,25,"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less
",3,4,2,3,2,3,2,2,2,3,2,2
28,28,"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.
",4,5,4,5,1,3,1,1,1,4,2,1
29,29,"Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
",3,2,2,2,1,3,2,1,2,3,2,2
30,30,"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods
",2,3,2,1,3,1,2,3,2,2,3,2
31,31,"yes theres also this black female Dr you need to check out.. when i rememberher name ill link you
",4,3,3,4,2,4,2,1,1,4,2,2
32,32,"so he put a status that says lonely up and a modelhoe just hit him up...
",3,2,2,2,2,3,2,2,2,3,2,2
33,33,"The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
",3,2,3,3,1,3,2,1,2,3,2,2
34,34,"So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix
",4,4,2,1,3,3,3,3,2,3,2,2
35,35,"Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
",4,5,2,3,4,3,2,3,2,4,2,1
36,36,"Atlanta fans might as well clock out.. You already know theending to this story ...""
",3,4,2,1,3,2,2,4,2,3,3,1
37,39,"Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit
",3,4,2,1,4,2,3,5,3,2,4,2
38,37,"I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit
",4,3,4,5,2,4,2,1,1,4,2,1
39,38,"Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
",3,4,2,2,2,3,2,2,2,3,2,2
40,40,"some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results
",4,3,2,3,3,4,2,2,1,3,2,2
41,42,"And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
",4,3,2,3,2,4,2,2,2,4,2,2
42,43,"which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis
",2,3,1,1,4,2,3,4,2,3,3,2
43,41,"I wonder how much the person who is in charge of theobama twitter account gets paid
",4,3,3,4,2,4,2,1,1,4,2,2
44,45,"yeah man they still the same just more turnt up now that we all grown and theycan say what they want
",4,3,3,4,2,4,1,2,1,5,2,2
45,44,"you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
",4,3,4,5,1,4,2,1,1,5,2,2
46,46,"This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity
",3,4,2,1,3,2,2,4,2,3,3,1
47,48,"Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted
",4,3,2,2,3,3,2,3,2,4,2,2
48,47,"Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost
",2,3,2,1,3,2,2,3,2,2,2,2
49,49,"Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is
",3,2,2,2,1,3,2,1,2,3,2,2
50,50,"So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid
",3,4,3,4,2,3,2,1,2,3,2,1
51,51,"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year. 
",3,2,2,3,2,2,4,2,1,3,2,2
52,53,"I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for
",2,3,1,1,4,1,2,5,2,2,4,1
53,52,"N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass
",2,3,2,1,3,2,3,2,2,2,3,2
54,55,"If I could grow a perfect pair of breasts, they wouldsit next to my bed.
",3,2,2,2,2,2,3,2,2,3,3,2
55,54,"If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better
",4,4,2,3,3,3,2,2,1,4,2,2
56,56,"YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....
",3,3,3,4,1,3,2,1,2,3,2,2
57,58,"Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..
",3,4,3,5,2,3,2,1,2,4,2,2
58,57,"Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol
",3,4,2,2,3,2,4,2,2,3,3,2
59,61,"Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks
",3,4,2,5,1,3,2,1,2,3,2,2
60,59,"ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
",3,3,2,2,1,2,2,2,2,3,2,2
61,60,"not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
",4,3,2,3,2,3,2,2,1,4,2,1
62,62,"bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk
",2,4,1,1,5,1,2,5,2,2,4,1
63,65,"Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
",3,2,2,3,1,3,2,2,2,3,2,2
64,64,"i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
",3,4,2,3,1,3,2,1,2,4,2,2
65,63,"ibknow where u from he said u know him look at my pic Ijust up of him bro
",3,2,2,2,2,2,2,2,2,3,2,2
66,67,"everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
",2,4,1,1,5,1,2,4,2,3,4,1
67,66,"You really can't ever be just friends with someone you usedto be in love with.
",4,3,2,3,2,4,2,2,1,4,2,2
68,68,"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 
",4,5,3,4,2,3,2,2,1,4,2,2
69,70,"Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
",4,3,2,4,1,3,2,1,1,3,2,1
70,72,"Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(
",4,3,2,4,1,4,2,1,1,3,1,1
71,71,"So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
",4,3,2,3,2,3,2,2,2,3,2,2
72,74,"If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me
",2,4,1,1,4,2,3,4,2,3,4,2
73,73,"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.
",3,3,2,3,2,4,2,2,2,3,2,2
74,69,"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!
",4,3,2,3,2,4,1,2,1,5,2,2
75,76,"Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
",3,2,1,2,1,2,1,1,2,3,2,4
76,75,"He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..
",3,3,2,1,4,2,2,4,2,3,3,1
77,78,"Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)
",2,3,2,3,3,2,3,3,2,2,3,2
78,77,"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.
",4,3,3,4,2,4,1,1,1,5,1,2
79,80,"I try to let u pussy niggas eat its time to putu pussy boys to sleep
",4,3,2,1,3,3,1,2,1,3,2,1
80,79,"imma let y'all know soon and you coming if I have todrag u out the house
",3,4,2,2,4,2,2,3,2,3,3,1
81,83,"I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
",4,5,2,3,4,3,2,3,2,4,2,2
82,84,"with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
",4,3,2,3,2,3,1,1,2,4,2,1
83,81,"But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
",4,4,3,4,2,3,1,1,1,4,2,1
84,86,"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol
",3,2,2,3,1,2,2,1,2,3,2,2
85,82,"He mad He came over My House unannounced and I wasgone. Not My Problem !
",4,3,2,2,3,3,1,3,2,3,2,1
86,88,"Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
",3,2,2,2,1,2,2,1,2,3,2,2
87,87,"Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
",3,4,1,1,5,2,2,5,2,3,4,1
88,85,"if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
",4,4,3,3,2,4,2,2,2,4,2,2
89,90,"So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
",4,5,3,4,2,3,2,1,1,4,2,2
90,89,"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally
",3,4,2,2,4,3,2,3,2,4,2,2
91,91,"Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too
",3,4,2,3,3,2,2,2,2,3,2,2
92,92,"I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
",3,3,2,2,1,2,1,2,1,4,2,1
93,93,"I know how to work the system the clothes I bring in looks better than what they haveon their backs how
",4,5,3,2,4,4,2,3,2,4,2,2
94,96,"they all look good that's why if I wasn't black Iwould hope I was Persian
",3,2,4,3,1,4,2,1,2,4,2,2
95,95,"lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho
",4,3,3,4,1,3,2,1,2,3,2,2
96,98,"I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
",4,3,4,4,2,4,2,1,1,4,1,2
97,97,"or go to food services but either way corporate need tosend them some damn sauce
",4,3,2,2,3,2,2,3,2,3,3,2
98,94,"Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
",3,4,2,3,2,3,2,2,2,3,2,2
99,100,"My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn
",3,2,2,2,2,2,2,2,2,3,3,2
100,101,"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions
",3,3,2,2,3,2,3,2,2,3,3,2
101,99,"NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose
",4,3,2,3,2,3,2,2,1,4,2,1
102,102,"I got the jack wat else I need sugar wats dem pebblesthat be in that shit
",3,4,2,3,2,3,2,2,2,3,2,2
103,103,"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla
",3,2,2,1,3,2,3,3,1,3,3,2
104,106,"Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh
",2,3,2,1,2,1,2,2,2,2,3,2
105,107,"2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash
",2,3,2,2,1,1,2,1,2,2,3,2
106,104,"Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro
",3,4,2,3,3,2,1,2,1,3,3,1
107,108,"Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!
",2,3,1,1,4,2,2,5,2,3,4,2
108,105,"I think it's a raccon or possum walkin round my house I'mscared ass shit rite now
",3,4,2,3,1,2,4,1,2,3,3,1
109,110,"Bout to see like 40 plates on the gram get meheated I'm starving like shit
",3,2,2,3,1,2,2,1,2,3,3,2
110,112,"70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .
",3,2,2,2,2,2,3,2,2,2,3,2
111,113,"Continuing the same way, they announced the arrival of my train after itpulls off, so not happy
",3,2,2,2,1,2,2,2,2,3,3,2
112,111,"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.
",2,3,2,1,3,2,2,3,2,3,3,2
113,109,"I jus call boo and she finished Skool she drink andshe smoke my reefer too...
",2,3,2,1,2,2,4,3,2,2,3,2
114,114,"Females be get they self into street shit but wen somebody put pressure on theyass they tell the police
",2,3,2,1,3,2,2,2,2,2,3,1
115,115,"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.
",4,4,2,2,4,2,2,2,1,3,3,1
116,116,"i had no choice ! Like i was already all into the tvand couldn't look away lol
",3,2,1,2,1,2,2,1,2,3,2,2
117,118,"It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho
",1,2,1,1,4,1,3,5,3,2,5,1
118,117,"When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair""
",2,3,2,1,4,1,3,4,2,2,4,2
119,120,"She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...
",3,4,2,2,3,2,3,3,2,3,4,1
120,119,"Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her belland kiss her in mouth
",2,3,2,1,2,2,1,1,1,2,3,2
121,121,"Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.
",2,3,2,1,3,2,2,2,3,3,3,2
122,122,"middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol
",3,2,2,2,2,2,3,2,2,2,3,2
123,123,"Sadly so many HS has crippled these players academically that evenJUCO is hard for them...
",4,3,2,3,2,4,2,1,2,4,2,2
124,126,"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.
",4,5,1,1,5,2,2,5,1,4,4,1
125,125,"U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?
",3,4,2,1,4,2,3,4,2,3,4,2
126,124,"tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)
",3,2,2,2,1,2,4,1,2,3,3,2
127,127,"I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...
",4,2,3,4,1,3,1,1,1,4,2,4
128,128,"Ladies, the older you are in the ""game"" the more Bullshit urgonna have to sift thru...
",4,5,3,4,2,4,2,2,1,4,2,1
129,129,"Sick of going to this dealership for random lights going out...BUT I do lovea free truck wash. *bling*
",3,2,2,3,2,2,2,2,2,3,3,2
130,130,"1/2 of what you want > Zero of what you want.But its mean if vocalized
",4,3,2,1,2,3,2,3,2,4,2,2
131,132,"Fucking WhERE?!!!! T So its a store that will sell U 4fifth of Patron for 49.99
",3,4,2,1,4,2,4,5,2,2,4,2
132,131,"Bill collectors take fractions of debt on the dollar sometimes...and I don't expect u 2agree about the RS ish...
",3,3,3,2,2,3,2,2,2,3,2,2
133,133,"immediately go back to hotel and hope u aint got TOO many jerks on ur team dat playthe replay on they ipads.
",3,2,2,1,3,2,2,3,2,3,3,1
134,134,"Shame on ALL you women that has sent off the Shape Challenged womenof the world...shame on yall.
",2,3,1,1,4,1,3,5,2,2,4,1
135,135,"On way 2 gym to sweat the rest of this bug out...can't beconducting workshops looking all sick
",4,5,3,3,2,4,1,1,1,4,2,1
136,136,"we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.
",2,4,2,1,4,2,1,4,2,3,4,2
137,138,"Sooo the other business units sending emails to IT while wein conference cuz they out...smh
",4,3,2,2,1,3,2,2,1,3,2,1
138,137,"yea u know with groupon they jus give u dat breadback to get sumthing else...
",3,2,4,3,1,3,2,1,2,3,2,2
139,139,"Kelly is a Fast ass Heffa...and we love it! Let her set dat poon out...We lovingher direction right now lol
",2,3,2,1,4,1,4,5,2,2,5,2
140,140,"it doesn't work when u work everyday and dem bums sitting in ur hood watching YOURshit u worked hard for.
",3,4,2,1,4,2,2,4,2,3,3,1
141,141,"Can you do what you doing right now...3 years from now?If not your wasting time.
",4,5,3,3,2,4,2,2,2,4,2,1
142,142,"I can actually beleive the stat...i was just wondering who tooktime to take the poll.
",4,3,2,3,2,3,2,1,2,4,2,2
143,143,"Everytime I ask for a cup for water at a fastfood Joint...I alwaysfill it up with pop
",2,3,2,1,2,2,1,3,2,2,3,2
144,144,"I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my workphone when I gotta Vmail.
",3,2,2,2,2,3,2,1,1,3,2,2
145,145,"I'm more of the service at a soup kitchen..Paint a School type of Community Service kindaguy...I'm not a role model.
",4,3,4,5,1,3,1,1,1,4,2,2
146,147,"I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yeanigga u see it"" lol
",3,4,2,3,2,3,1,2,2,3,2,1
147,148,"Den she so gangsta...she ends convo looks at me for little bite denopens up this bible pamphlet!!!
",3,4,2,3,2,2,2,2,2,3,3,1
148,146,"I been on auto pay since foreva! Got some 1percent inapr deduction cuz of it.
",3,4,2,3,1,3,2,1,2,4,2,2
149,149,"I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected isgonna be a good pro
",4,3,2,3,1,3,1,2,1,4,2,1
150,150,"I said AD wont be ROY and Barnes was gonna be a Good Pro...and Game wasmore suited for the Pros
",4,3,2,3,2,4,1,2,2,4,2,2
151,153,"I think every Married woman on my TL is nodding they heads...while thesingle ones aint catching it.
",2,3,2,1,2,2,3,2,2,3,2,2
152,152,"we can agree 2 disagree. But I'm no advocate to any woman thinking its ok 2 neva shutup and have a seat...
",3,4,2,1,4,2,2,4,2,3,3,2
153,151,"that's a recipe for disaster. A woman that won't shut up or sit down. When is that ever gonna getwins? Its less extreme ways.
",2,4,1,1,3,2,3,4,2,3,3,2
154,155,"let DJ come home and tell me all he did was watch Videos with a Sub and every 1in class aint got books.sheeid
",3,2,2,1,1,2,3,2,2,2,3,2
155,154,"if everyone calmed down before making a decision a lot will be different...But to be fair a woman fussingis annoying as shit lol
",3,2,1,2,3,2,2,3,2,3,2,2
156,158,"how is that funny? Maybe interaction with you is more immediatly satisfying that those causes...weall aint self righteous bruh
",4,3,2,2,2,3,2,2,1,4,2,2
157,157,"are u trying to say that getting a white woman will help u be great ifyour a black man? lol
",2,3,2,1,3,2,2,3,2,3,4,1
158,159,"it helps by showin u can be responsible for SELF and thatsthe 1st step before unity.
",4,4,3,4,2,3,1,2,1,4,2,2
159,156,"Sometimes dudes holla at chicks dats not that cute cuz they hope she like super attentive and domesticand got untapped good poon.
",2,3,2,1,3,1,3,4,3,2,4,2
160,160,"and thats just one scenrio....its a mille more...hence why the bases shouldbe ...BE A RESPONSIBLE PERSON..Period
",4,5,3,4,2,4,2,2,1,5,2,1
161,163,"Ladies If u EVER used the line ""I'm 2 much woman for u anyway"" to justifyany argument...U a Fat Girl.
",2,3,2,1,4,1,2,5,2,2,4,1
162,162,"was showing all types of baby thigh meat in HS now her future kidscan't be alil fast lol
",2,3,2,2,3,1,3,2,2,2,4,2
163,161,"how do u understand an analogy and not at same time? Ok lemme try this...ur not a dad...do u think u can speakon it 2 a dad?
",3,2,2,3,1,2,3,1,2,3,2,2
164,164,"Attn is a helleva drug tho...and goofy mogs is raising the priceof it faster than Gold.
",3,2,2,2,2,2,4,2,2,3,3,2
165,166,"repeating the last 3 words of my questions back to medoes nuthing ya know lol
",4,3,2,1,2,3,2,2,2,3,2,2
166,167,"It can pan out tho...but dat later in life leap of faith shit is NOT the groove...fuck around andbe damaged goods by 34
",2,3,2,1,3,2,2,2,2,3,2,2
167,168,"no country for chicks leaving bread crumps for the ppl theyREALLY wanted to be with
",4,3,2,1,3,4,3,2,2,4,2,2
168,169,"Pho craving, Mekong Delta closed Mondays so I made faux pho w/ ramen noodles (all eddies has). It's notDelta, but i'm pleasantly surprised.
",4,3,3,4,2,3,2,1,1,3,2,2
169,165,"I'm convinced dat Hova lack of thirst, own bread, style nshit made her look over his camelface. Chicks are less shallow...
",2,3,2,1,3,1,4,4,2,3,4,2
170,170,"oh i dunnno, maybe they are. But they are usually closed mondays, which iswhen I usually want pho
",3,2,4,3,1,3,2,1,2,3,2,2
171,171,"Just had a great conversation with old baltimore about how he used toget drinks at the Stafford.
",3,3,3,3,2,3,2,1,2,4,2,2
172,172,"there should be an en fuego documentary. What was in that burrito thatmade it taste so good?
",4,3,2,3,2,4,2,1,2,4,2,2
173,173,"With that being said...what do i want more, a nice body or nice hair, cuz it's clear ican't have it all lol
",4,3,2,3,2,3,2,2,2,4,2,2
174,175,"Im all for my ppl leaving Chicago. All I ask is make it aplace I can visit. .
",3,4,2,3,2,3,1,2,1,4,2,2
175,176,"Just found out that my auntie BBQ and my fat ass just ate. I'm headed togo get me a rib
",3,2,2,2,1,2,4,2,2,2,4,2
176,177,"I think in going to make a trip up to Roosevelt... Justto see if anything changed
",4,3,3,4,2,3,2,1,2,4,2,2
177,174,"I might need to break out the creamy crack i been trying soodesperately to stay away from
",3,4,2,3,2,3,2,1,2,4,2,2
178,180,"Did anybody hear Momma Dee commercial on 107.5.???? Why did she say ""Whenever I'min the State of Detroit""
",3,2,3,3,2,2,2,2,2,3,3,2
179,178,"I was a little cranky lol. I haven't been gettin any sleeplately but I'm str8 now
",3,2,2,3,1,2,3,1,2,3,2,2
180,179,"So he said he was going to call me back sohe can get on IG
",3,2,1,2,1,2,3,2,2,2,3,2
181,181,"I'm a full time worker and a full time student.... Do I really have timefor a boyfriend.??? Uhhhhhh.... NO
",4,5,3,3,2,3,1,2,1,4,2,1
182,183,"Reading through Neh 12 this morning with my man, Joshua. He spit up while I was reading the names ofthe priests & Levites. Hmmm...
",4,3,3,4,1,3,2,1,2,3,2,2
183,182,"My cousin texted me yesterday and asked me when I was coming back to Florida. I told her sooncause I need to gtfo
",3,4,2,2,3,2,2,3,2,3,3,1
184,185,"'s message ""I will give you rest"" must of worked last night - found stress ball under a chair inthe worship center this morning.
",3,2,2,4,1,3,2,1,2,3,2,2
185,184,"Don""t miss the kickoff of our new series The Red Letters! 9 & 10:30 this morningat Greater Gresham Baptist Church
",4,4,3,4,2,4,2,1,2,4,2,2
186,187,"if you everhave the time to message me back because everyone says I sound like the both of you when Irap just want to talk
",3,2,3,4,2,3,2,1,2,3,2,2
187,186,"""Spire installed on New York's One World Trade Center brings it to 1,776 feet, tallest buildingin Western Hemisphere."" -- CNN
",4,3,3,4,2,4,2,1,1,4,2,1
188,188,"that moment wen sumone tryna talk to yhu ....nd yhu tell them yhu a lesbian nd theytry even harder! like wtf.!
",4,3,3,3,2,4,1,1,1,3,2,1
189,190,"I been waiting on a new debit card all week! Seem like it goes slower when they knowyou got money to spend
",3,3,2,4,1,3,2,1,2,3,2,2
190,189,"Brian would you consider being in a long distance relationship if youwere interested in that person
",4,3,3,4,2,4,2,1,2,4,2,2
191,193,"I can't just go eat pork like I used to. It's been toolong. I get the point
",4,3,3,4,2,4,1,1,1,4,2,2
192,192,"It's gon' be 93 degrees today! We just skipped Spring andwent straight to Summer smh
",3,2,2,3,1,2,2,1,2,3,3,1
193,191,"Whenever ppl lose too much weight too quick ppl automatically think one of two things. They'reeither smoking or sick lol
",3,2,3,2,2,2,2,2,2,3,2,2
194,196,"I can be a crazy bitch. I'll admit it. But I can alsobe the sweetest person, ever.
",3,4,2,3,4,3,2,3,2,4,2,2
195,198,"just got done listen to that junt . had that shit bumpin inher lil whip . .
",3,2,2,1,3,2,3,3,2,3,3,2
196,194,"It's bout to storm. They interrupting the tv shows. Y'all know mytheory. Lol must be serious
",3,2,2,2,2,2,3,2,2,3,2,1
197,195,"I see now why ppl just get cheese pizza. It's wayless work... and safer lol
",4,2,3,3,1,2,2,1,2,3,2,4
198,199,"Sex: it's between the two people, respectfully take advantage of each otherfor those couple of minutes
",3,3,2,2,2,3,2,2,2,3,2,2
199,197,"Mind at peace every nite, that means something to many with themost unsatisfying commitments to make.
",4,3,5,4,1,4,1,1,1,4,2,2
200,200,"Nate is 5'8. Bron is 6'8 of course he will hit him in the face. He's under him. TheNBA is so fucking gay.
",2,3,1,1,4,1,3,5,2,2,4,1
