Row,Original Index,Person1,Intelligence1,Determination1,Calmness1,Politeness1,Aggression1,Sophistication1,Incoherence1,Rudeness1,Stupidity1,Articulation1,Unsophistication1,Laziness1,Person2,Intelligence2,Determination2,Calmness2,Politeness2,Aggression2,Sophistication2,Incoherence2,Rudeness2,Stupidity2,Articulation2,Unsophistication2,Laziness2
11,11,"I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk
",3,2,4,3,2,3,1,2,2,4,2,1,"I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
",2,3,1,1,4,1,3,5,3,2,4,2
12,12,"That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though
",3,2,3,3,2,2,2,2,3,3,3,2,"that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
",3,2,4,4,1,2,3,1,2,2,4,4
13,13,"This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!
",3,2,4,4,1,3,1,1,2,4,2,2,"This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
",2,2,3,3,1,2,3,2,3,2,4,4
14,14,"Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.
",3,2,3,4,1,4,2,1,2,4,2,2,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that
",2,2,3,3,1,2,3,2,3,2,4,2
15,15,"Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me
",4,2,4,4,1,4,1,1,1,4,2,1,"who made amy dress for the finale the red one atthe end please tell me
",2,2,3,2,1,1,3,2,3,2,4,3
16,16,"Old people are gross. This friend has just kissed a stripperlike she was his wife
",2,2,3,1,3,2,2,4,3,3,4,2,"Old niggas are foul . This nigga just kiss a stripperlike it was his wife
",2,2,3,1,4,1,3,5,3,2,5,2
17,17,"That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.
",3,2,3,3,2,3,2,2,2,3,2,2,"That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
",3,2,3,2,2,2,3,2,2,2,3,3
18,18,"My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately
",3,2,2,3,3,3,1,2,2,3,2,2,"My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs
",2,3,1,1,4,1,3,4,3,2,4,2
19,19,"I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend
",3,4,2,1,4,3,1,4,2,4,2,2,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE
",2,5,1,1,5,1,4,5,4,1,5,4
20,20,"There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou 
",5,3,4,4,2,5,1,2,1,5,1,2,"There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
",5,3,4,4,2,5,1,2,1,5,1,2
21,21,"I am single and ready to mingle, but at the same time I am also ready to settle down
",3,4,3,3,2,3,2,1,2,3,3,2,"I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
",2,3,2,2,3,1,4,3,4,1,5,4
22,22,"I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap
",3,2,4,4,1,4,1,1,2,4,2,3,"I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap
",2,2,3,2,2,2,3,3,3,2,4,4
23,23,"I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on
",3,4,3,3,2,3,2,2,2,4,2,2,"I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
",2,4,2,2,3,1,4,3,3,2,4,3
24,24,"There are too many people who are not loyal! I need someone who is loyal on my team
",3,4,3,3,3,3,2,2,2,3,3,2,"Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!
",2,5,2,2,4,1,4,4,4,2,5,3
25,25,"Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter
",3,2,3,3,2,3,2,2,2,3,2,2,"Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.
",2,4,1,1,5,1,3,5,3,2,5,3
26,26,"I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less
",3,4,2,3,3,3,2,2,2,3,3,2,"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less
",2,4,2,2,4,1,4,3,3,2,4,2
27,27,"When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult
",3,3,3,3,3,3,1,2,2,4,2,1,"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.
",3,4,3,2,4,2,2,3,2,3,4,2
28,28,"I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother
",3,3,3,3,2,3,2,2,2,3,3,2,"I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!
",2,4,2,2,3,2,3,3,3,2,4,3
29,29,"I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.
",3,5,4,4,1,2,1,1,1,3,3,1,"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.
",2,4,3,3,1,1,3,2,2,2,4,3
30,30,"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone
",4,4,4,4,2,4,1,1,1,5,1,1,"Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
",3,4,3,2,3,2,2,3,2,3,4,1
31,31,"After \""Boyz n the Hood\"" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them
",3,2,3,3,2,3,2,2,3,3,3,2,"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods
",2,3,2,1,4,2,3,5,3,2,4,3
32,32,"Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.
",4,3,4,4,1,4,1,1,1,4,2,2,"yes theres also this black female Dr you need to check out.. when i rememberher name ill link you
",3,3,3,3,1,2,2,1,2,3,3,3
33,33,"So he posted a status that said \""lonely\"" and a modeljust messaged him
",3,2,3,3,2,3,2,2,2,3,2,2,"so he put a status that says lonely up and a modelhoe just hit him up...
",2,3,2,1,4,1,3,4,3,2,4,2
34,34,"The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.
",3,2,3,3,2,3,2,2,2,4,2,2,"The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
",2,3,2,2,3,2,4,3,3,2,4,3
35,35,"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.
",3,4,2,1,4,2,1,4,2,3,4,1,"So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix
",3,4,2,1,4,2,1,4,2,4,4,1
36,36,"Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business
",3,4,2,2,4,2,1,3,2,3,4,1,"Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
",3,4,3,3,3,3,1,2,2,4,3,1
37,37,"Atlanta fans might as well clock out.. you already know theending to this story ..
",3,2,2,1,4,2,1,4,2,3,3,3,"Atlanta fans might as well clock out.. You already know theending to this story ...""
",3,2,2,1,4,2,1,4,2,3,3,3
38,38,"I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it
",3,2,4,4,2,3,1,2,2,3,2,2,"I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit
",3,4,1,1,4,1,2,5,2,3,4,2
39,39,"Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal
",3,3,3,3,2,3,2,2,2,4,2,2,"Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
",2,4,2,1,3,1,4,4,3,2,4,3
40,40,"Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit
",3,3,2,2,3,2,1,3,3,3,3,1,"Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit
",3,3,2,1,4,1,2,4,3,3,4,1
41,41,"There are some people who can not accept the truth but they will revisit your tweets in the future whenthey have nothing, so they can acquire the results
",3,4,2,2,3,3,2,3,2,3,2,1,"some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results
",3,4,2,2,3,2,1,3,2,3,3,2
42,42,"I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid
",3,4,2,2,3,2,1,3,2,3,3,1,"I wonder how much the person who is in charge of theobama twitter account gets paid
",3,2,4,4,1,3,1,1,2,3,2,2
43,43,"And he said, \""My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle
",4,3,3,3,2,4,1,2,2,4,2,1,"And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
",2,2,2,2,3,1,4,3,3,2,4,4
44,44,"Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man
",3,2,3,3,2,3,2,2,2,3,2,1,"which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis
",2,3,2,1,4,1,2,4,4,2,4,1
45,45,"You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye
",2,3,3,3,2,2,3,2,3,2,4,4,"you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
",3,3,3,3,2,3,2,2,2,3,2,2
46,46,"Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely
",4,3,4,4,2,4,2,2,2,4,2,2,"yeah man they still the same just more turnt up now that we all grown and theycan say what they want
",3,4,2,2,4,2,3,3,3,3,4,3
47,47,"This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.
",3,2,3,2,2,3,2,3,2,4,2,3,"This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity
",2,2,3,1,3,1,4,4,3,2,4,3
48,48,"Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose
",3,3,2,2,3,2,1,3,2,3,3,1,"Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost
",2,4,1,1,4,1,2,4,3,2,4,1
49,49,"The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it
",4,2,3,3,2,4,1,2,2,4,2,1,"Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted
",3,2,3,2,3,2,2,3,3,3,4,3
50,50,"I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is
",3,4,3,3,2,3,2,2,2,4,2,2,"Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is
",2,4,2,3,2,2,3,2,3,2,4,2
51,51,"I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid
",3,2,3,3,2,2,2,2,2,3,3,2,"So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid
",4,2,3,3,2,4,1,2,2,4,2,2
52,52,"I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.
",3,2,3,3,2,2,2,2,3,3,4,2,"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year. 
",3,2,3,3,2,3,2,2,2,4,3,2
53,53,"No way, he likes her, and she logs into his phone, even though shedoes not like him
",3,3,3,3,2,3,1,2,2,4,2,2,"N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass
",2,4,2,1,4,1,5,5,4,1,5,3
54,54,"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady
",3,4,1,1,5,2,1,5,3,3,4,1,"I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for
",3,4,1,1,5,2,2,5,3,2,4,1
55,55,"If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.
",3,3,3,3,2,3,1,2,2,3,2,1,"If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better
",2,3,3,2,2,1,4,3,3,2,4,4
56,56,"If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed
",3,1,3,2,1,1,5,1,4,1,5,5,"If I could grow a perfect pair of breasts, they wouldsit next to my bed.
",3,1,3,2,1,1,5,1,4,1,4,5
57,57,"Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor
",4,2,4,4,1,4,1,1,2,4,2,2,"YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....
",2,4,1,1,4,1,4,4,4,2,5,5
58,58,"Ok I'm still out here. Still turnt up. What'swrong with me? Haha.
",2,4,2,2,3,1,4,2,3,2,4,3,"Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol
",3,4,3,3,2,2,3,1,2,3,3,2
59,59,"I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.
",4,3,4,4,2,4,1,1,2,4,2,2,"Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..
",2,4,2,2,4,1,4,4,4,2,5,3
60,60,"Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn
",3,2,3,3,2,3,2,2,2,3,2,2,"ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
",3,2,2,1,3,2,3,4,2,2,4,2
61,61,"It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!
",3,2,3,4,2,3,1,2,2,4,2,1,"not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
",3,2,3,3,2,2,3,2,2,3,3,4
62,62,"Dr. Haynes, I live in Georgia and I would like to know, what time are you on the Ricky Smiley show and how canI hear you more? Thanks
",4,3,4,5,1,4,1,1,1,5,1,1,"Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks
",3,3,4,3,1,2,2,2,2,3,4,4
63,63,"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay
",3,4,1,1,5,2,1,5,3,4,4,2,"bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk
",2,4,1,1,5,1,5,5,4,1,5,4
64,64,"\""I know where you're from,\"" he said. \""You know him, look at my pic\""I just put up of him, brothe
",3,3,3,2,3,3,2,3,2,4,2,2,"ibknow where u from he said u know him look at my pic Ijust up of him bro
",2,3,3,1,3,1,4,4,4,2,4,4
65,65,"I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight
",3,4,3,4,2,4,2,2,2,4,2,2,"i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
",2,4,1,1,4,1,4,5,3,2,5,2
66,66,"I really miss Pat and Maurice staying here, they used toaccept my offers all the time
",3,2,3,4,1,3,1,1,2,4,2,2,"Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
",2,2,3,2,2,2,3,3,3,2,4,3
67,67,"It is hard to be just be friends with someone you usedto be in love with
",3,3,3,3,2,3,2,2,2,3,3,2,"You really can't ever be just friends with someone you usedto be in love with.
",3,4,2,3,3,2,2,2,2,3,4,3
68,68,"Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone
",3,4,2,1,4,3,1,4,2,4,2,1,"everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
",2,4,2,1,4,1,4,4,3,2,4,4
69,69,"Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing
",3,3,3,3,2,3,1,2,2,3,3,1,"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 
",3,3,3,3,2,2,1,2,2,3,3,1
70,70,"Bad grammar is my pet peeve! Everyone needs help grammatically from time to time, butthat is what Google is for
",3,2,4,4,2,3,1,2,2,4,2,3,"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!
",1,5,1,1,5,1,5,5,5,1,5,3
71,71,"I'm on the phone with my grandma and she keeps saying \""we're going to get off the phone now,\"" but then she keeps talking! Come on
",3,3,3,3,2,3,1,2,2,4,2,2,"Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
",2,3,3,2,2,1,4,3,3,1,4,4
72,72,"So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.
",3,2,3,3,2,3,1,2,2,3,2,2,"So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
",2,2,3,2,2,2,3,3,3,2,4,4
73,73,"I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.
",4,3,4,4,1,4,1,1,1,4,2,2,"Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(
",3,2,2,3,1,2,2,1,2,3,4,3
74,74,"A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen
",3,2,3,4,1,2,1,1,2,3,3,2,"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.
",4,3,3,4,1,4,1,1,1,4,2,1
75,75,"If you're my friend, really my friend, go and get some girlsand bring them to me
",3,3,3,2,3,3,2,3,3,4,3,3,"If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me
",2,4,1,1,4,1,4,5,4,2,5,2
76,76,"He must not know that I don't like the bitch word, \""homie\"". That word cause a coupleof teeth to go missing
",3,4,2,1,4,2,2,4,2,3,4,3,"He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..
",3,4,2,1,4,2,3,4,2,2,4,3
77,77,"Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.
",3,1,3,3,1,3,1,2,2,4,2,4,"Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
",2,1,3,2,1,1,3,3,3,2,4,4
78,78,"You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.
",4,3,4,3,2,4,1,1,1,4,2,2,"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.
",3,3,3,3,2,3,1,2,2,3,3,3
79,79,"Girls want to know...girls want to show...they know my name they know a..i'm stron
",2,3,3,3,2,2,2,2,3,3,3,2,"Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)
",3,4,2,1,4,3,1,4,2,4,4,3
80,80,"I’m going to let you all know soon and you are coming even if I have to drag you out of the house.
",3,4,2,2,3,3,1,3,2,4,2,1,"imma let y'all know soon and you coming if I have todrag u out the house
",2,5,1,1,4,1,3,4,3,2,4,2
81,81,"I tried to feed you boys, now it's time foryou boys to go to be
",3,3,3,3,2,3,2,2,2,3,2,1,"I try to let u pussy niggas eat its time to putu pussy boys to sleep
",2,4,1,1,5,1,2,5,3,3,5,1
82,82,"That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.
",3,4,3,3,2,3,1,1,2,4,2,2,"But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
",2,4,3,2,2,1,3,3,3,2,4,3
83,83,"He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with
",4,3,3,3,2,4,1,2,2,4,2,2,"He mad He came over My House unannounced and I wasgone. Not My Problem !
",2,4,4,1,4,1,4,5,3,1,5,4
84,84,"I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely
",4,4,3,3,3,4,1,2,2,4,2,1,"I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
",3,5,1,1,5,2,4,4,3,2,4,1
85,85,"With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.
",3,4,3,3,2,3,1,2,3,4,3,1,"with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
",2,4,3,2,2,2,4,2,4,2,4,2
86,86,"If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve
",4,4,3,3,2,4,1,2,1,4,2,1,"if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
",3,4,3,3,2,2,3,2,2,3,3,2
87,87,"If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow
",3,2,3,3,1,3,2,1,2,4,2,2,"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol
",3,2,4,4,1,2,1,1,1,3,3,1
88,88,"What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head
",3,4,1,1,4,2,1,5,2,4,4,2,"Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
",3,4,1,1,4,2,1,5,2,3,4,2
89,89,"I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.
",3,2,3,3,2,3,2,2,2,3,3,2,"Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
",3,2,3,2,2,2,3,3,2,2,4,2
90,90,"I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally.
",4,5,3,2,4,4,1,3,1,5,2,1,"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally
",3,4,3,3,3,3,2,2,2,3,3,2
91,91,"Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up
",3,4,3,3,2,3,2,1,2,4,2,3,"So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
",3,4,3,2,2,2,3,2,2,3,3,3
92,92,"The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too
",3,2,3,3,2,3,2,2,2,3,2,1,"Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too
",3,4,2,1,4,1,1,4,2,3,4,1
93,93,"If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere
",3,3,3,2,4,2,1,4,3,3,4,1,"I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
",3,3,3,3,3,3,1,3,2,3,3,1
94,94,"I know how to work the system. The clothes I bring in look better than what they haveon their backs now.
",3,4,2,1,4,2,1,5,2,3,4,2,"I know how to work the system the clothes I bring in looks better than what they haveon their backs how
",3,4,2,1,4,2,4,5,3,1,4,2
95,95,"Gatorade and Powerade used to be so nasty to me butnow I love that shit.
",3,3,3,3,2,3,2,2,2,3,2,2,"Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
",2,4,2,2,3,1,4,4,3,2,5,4
96,96,"That’s funny. I had to go see this tweet for myself. It’s ashame it’s the truth, though.
",3,2,4,4,2,3,1,2,2,4,2,2,"lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho
",2,3,2,2,3,1,3,3,3,2,4,4
97,97,"Every person looks great, therefore, if I was not black, Iwould prefer to be Persian
",3,2,3,3,2,3,2,2,2,4,2,1,"they all look good that's why if I wasn't black Iwould hope I was Persian
",3,2,3,4,1,2,1,1,1,3,3,1
98,98,"Or go to food services, but either way, corporate needs to send them some damn sauce
",3,4,3,2,3,2,2,3,2,4,3,2,"or go to food services but either way corporate need tosend them some damn sauce
",2,4,3,2,3,1,3,3,3,3,4,3
99,99,"I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.
",3,4,3,4,2,3,1,1,2,3,2,2,"I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
",3,3,3,4,2,3,1,1,2,3,2,3
100,100,"In NCAAB, Texas A&M Elston Turner scores 40 points in an 83-71 win by Kentucky. It was the first SEC homeloss for John Calipari.
",3,2,3,3,2,3,1,1,2,4,2,1,"NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose
",3,2,3,2,2,2,2,2,2,3,3,4
101,101,"My mother disappoints me sometimes...why does my lifehave to be harder? gosh.
",3,2,4,4,2,3,2,2,2,3,2,2,"My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn
",3,3,1,1,4,1,2,4,2,3,4,3
