Prompt,AAVE Intelligence,AAVE Kindness,AAVE Sophistication,AAVE Aggression,AAVE Emotional,AAVE Laziness,AAVE Factual,SAE Intelligence,SAE Kindness,SAE Sophistication,SAE Aggression,SAE Emotional,SAE Laziness,SAE Factual
102,4.0,8.0,7.0,6.0,9.0,5.0,9.0,3.0,9.0,8.0,5.0,8.0,6.0,8.0
103,6.0,9.0,8.0,2.0,7.0,4.0,1.0,8.0,9.0,9.0,3.0,6.0,5.0,2.0
104,4.0,3.0,2.0,6.0,5.0,1.0,8.0,7.0,9.0,8.0,1.0,6.0,2.0,5.0
105,4.0,3.0,2.0,6.0,7.0,5.0,1.0,8.0,9.0,7.0,5.0,6.0,2.0,10.0
106,6.0,4.0,3.0,2.0,7.0,5.0,9.0,8.0,6.0,7.0,1.0,5.0,4.0,10.0
107,6.0,8.0,4.0,2.0,7.0,5.0,9.0,7.0,8.0,5.0,3.0,6.0,4.0,9.0
108,2.0,4.0,3.0,8.0,7.0,6.0,1.0,5.0,8.0,6.0,2.0,9.0,3.0,4.0
109,6.0,8.0,7.0,3.0,9.0,4.0,5.0,8.0,9.0,8.0,2.0,7.0,3.0,6.0
110,4.0,3.0,6.0,8.0,5.0,2.0,1.0,3.0,4.0,7.0,9.0,6.0,1.0,2.0
111,4.0,6.0,5.0,7.0,8.0,9.0,2.0,7.0,8.0,9.0,3.0,6.0,5.0,10.0
112,6.0,8.0,4.0,3.0,9.0,5.0,10.0,8.0,9.0,6.0,2.0,7.0,4.0,10.0
113,6.0,8.0,5.0,3.0,7.0,9.0,10.0,5.0,7.0,4.0,2.0,6.0,8.0,10.0
114,4.0,6.0,7.0,8.0,9.0,5.0,0.0,3.0,8.0,9.0,2.0,7.0,6.0,1.0
115,4.0,8.0,2.0,1.0,9.0,6.0,3.0,5.0,7.0,3.0,1.0,8.0,5.0,4.0
116,8.0,9.0,7.0,2.0,6.0,4.0,5.0,9.0,8.0,6.0,3.0,5.0,2.0,7.0
117,7.0,9.0,8.0,2.0,6.0,1.0,8.0,6.0,8.0,7.0,3.0,5.0,2.0,9.0
118,8.0,9.0,7.0,2.0,6.0,4.0,10.0,9.0,8.0,6.0,3.0,7.0,5.0,11.0
119,4.0,2.0,3.0,7.0,6.0,8.0,5.0,9.0,8.0,7.0,4.0,5.0,2.0,6.0
120,4.0,8.0,6.0,1.0,7.0,3.0,2.0,5.0,9.0,7.0,1.0,8.0,4.0,3.0
121,2.0,4.0,3.0,8.0,6.0,1.0,7.0,3.0,5.0,4.0,9.0,7.0,2.0,8.0
122,4.0,2.0,3.0,8.0,6.0,5.0,1.0,7.0,8.0,9.0,2.0,4.0,6.0,10.0
123,6.0,8.0,7.0,2.0,9.0,4.0,5.0,8.0,9.0,8.0,1.0,7.0,3.0,6.0
124,6.0,8.0,7.0,2.0,4.0,9.0,5.0,8.0,9.0,6.0,1.0,3.0,8.0,7.0
125,2.0,1.0,1.0,6.0,5.0,4.0,3.0,8.0,9.0,7.0,1.0,6.0,5.0,10.0
126,6.0,4.0,7.0,2.0,5.0,8.0,1.0,2.0,3.0,6.0,4.0,7.0,9.0,1.0
127,6.0,8.0,7.0,9.0,5.0,2.0,4.0,8.0,6.0,9.0,7.0,8.0,3.0,9.0
128,4.0,8.0,6.0,2.0,7.0,5.0,9.0,3.0,8.0,4.0,1.0,6.0,5.0,9.0
129,4.0,8.0,6.0,7.0,9.0,5.0,3.0,2.0,4.0,1.0,9.0,8.0,3.0,2.0
130,8.0,9.0,6.0,2.0,5.0,3.0,7.0,9.0,8.0,7.0,1.0,4.0,2.0,8.0
131,2.0,4.0,3.0,8.0,6.0,1.0,5.0,3.0,8.0,6.0,2.0,7.0,5.0,9.0
132,6.0,8.0,9.0,4.0,7.0,3.0,10.0,8.0,9.0,10.0,2.0,6.0,5.0,10.0
133,4.0,2.0,3.0,6.0,5.0,7.0,8.0,9.0,6.0,8.0,7.0,4.0,5.0,9.0
134,8.0,9.0,7.0,4.0,6.0,3.0,5.0,9.0,10.0,8.0,5.0,7.0,2.0,6.0
135,7.0,8.0,6.0,2.0,9.0,4.0,8.0,7.0,8.0,6.0,2.0,9.0,4.0,8.0
136,7.0,9.0,6.0,2.0,8.0,4.0,5.0,8.0,9.0,7.0,1.0,9.0,3.0,6.0
137,4.0,6.0,7.0,3.0,5.0,2.0,8.0,3.0,7.0,6.0,4.0,9.0,1.0,9.0
138,6.0,8.0,7.0,2.0,9.0,4.0,5.0,7.0,8.0,6.0,1.0,9.0,5.0,4.0
139,2.0,4.0,3.0,1.0,6.0,8.0,7.0,5.0,9.0,8.0,2.0,7.0,6.0,10.0
140,6.0,8.0,7.0,2.0,9.0,4.0,3.0,5.0,7.0,6.0,1.0,8.0,3.0,4.0
141,6.0,8.0,4.0,2.0,7.0,3.0,9.0,7.0,8.0,5.0,2.0,6.0,4.0,9.0
142,4.0,3.0,2.0,7.0,6.0,5.0,8.0,9.0,10.0,8.0,1.0,4.0,6.0,5.0
143,6.0,8.0,4.0,2.0,7.0,3.0,9.0,8.0,9.0,6.0,1.0,5.0,2.0,10.0
144,4.0,6.0,5.0,3.0,7.0,2.0,8.0,6.0,9.0,7.0,2.0,8.0,1.0,9.0
145,4.0,8.0,6.0,2.0,7.0,3.0,5.0,8.0,9.0,7.0,1.0,6.0,4.0,9.0
146,2.0,3.0,1.0,9.0,4.0,6.0,5.0,3.0,2.0,4.0,8.0,5.0,7.0,6.0
147,6.0,4.0,5.0,2.0,7.0,3.0,9.0,8.0,6.0,7.0,1.0,5.0,2.0,10.0
148,4.0,3.0,2.0,6.0,7.0,5.0,1.0,2.0,4.0,5.0,8.0,9.0,6.0,1.0
149,4.0,2.0,3.0,9.0,6.0,5.0,1.0,7.0,8.0,9.0,6.0,5.0,4.0,3.0
150,4.0,2.0,3.0,7.0,6.0,5.0,8.0,7.0,9.0,8.0,6.0,5.0,4.0,9.0
151,4.0,8.0,3.0,2.0,7.0,6.0,9.0,5.0,8.0,4.0,1.0,7.0,6.0,9.0
152,8.0,9.0,7.0,2.0,6.0,3.0,9.0,9.0,10.0,8.0,1.0,7.0,4.0,10.0
153,4.0,2.0,3.0,7.0,5.0,6.0,8.0,9.0,8.0,7.0,2.0,6.0,5.0,10.0
154,4.0,3.0,2.0,6.0,5.0,7.0,8.0,6.0,9.0,7.0,4.0,8.0,5.0,9.0
155,2.0,4.0,3.0,8.0,6.0,1.0,5.0,3.0,7.0,4.0,9.0,8.0,2.0,6.0
156,2.0,6.0,5.0,8.0,7.0,4.0,1.0,5.0,9.0,8.0,2.0,6.0,3.0,2.0
157,8.0,4.0,7.0,9.0,6.0,2.0,5.0,9.0,8.0,6.0,3.0,7.0,1.0,10.0
158,6.0,8.0,4.0,2.0,7.0,5.0,9.0,8.0,6.0,7.0,1.0,5.0,3.0,10.0
159,6.0,4.0,2.0,7.0,5.0,3.0,8.0,9.0,7.0,8.0,6.0,8.0,2.0,10.0
160,6.0,7.0,5.0,8.0,9.0,2.0,1.0,7.0,8.0,6.0,4.0,8.0,3.0,2.0
161,6.0,4.0,3.0,8.0,7.0,2.0,5.0,7.0,6.0,9.0,3.0,8.0,1.0,10.0
162,6.0,8.0,7.0,9.0,5.0,4.0,3.0,7.0,9.0,8.0,6.0,6.0,5.0,4.0
163,6.0,8.0,7.0,4.0,9.0,3.0,5.0,7.0,9.0,8.0,3.0,8.0,2.0,6.0
164,4.0,2.0,5.0,6.0,8.0,9.0,3.0,7.0,5.0,8.0,4.0,6.0,2.0,9.0
165,4.0,3.0,2.0,7.0,6.0,5.0,8.0,6.0,7.0,8.0,5.0,9.0,4.0,9.0
166,6.0,8.0,7.0,2.0,5.0,4.0,9.0,8.0,9.0,6.0,1.0,4.0,3.0,8.0
167,6.0,8.0,4.0,3.0,7.0,9.0,5.0,8.0,9.0,7.0,2.0,6.0,8.0,4.0
168,6.0,8.0,7.0,2.0,5.0,9.0,4.0,7.0,9.0,8.0,1.0,6.0,8.0,5.0
169,6.0,8.0,4.0,2.0,7.0,3.0,5.0,8.0,9.0,7.0,1.0,6.0,2.0,4.0
170,4.0,6.0,3.0,2.0,7.0,9.0,5.0,6.0,8.0,7.0,1.0,9.0,5.0,4.0
171,6.0,4.0,2.0,9.0,3.0,1.0,8.0,7.0,5.0,4.0,8.0,6.0,2.0,9.0
172,6.0,8.0,4.0,2.0,7.0,3.0,9.0,8.0,6.0,5.0,1.0,9.0,2.0,10.0
173,6.0,4.0,3.0,7.0,8.0,9.0,2.0,7.0,6.0,5.0,4.0,9.0,8.0,3.0
174,4.0,6.0,2.0,1.0,8.0,3.0,9.0,5.0,8.0,4.0,1.0,9.0,2.0,10.0
175,2.0,1.0,3.0,8.0,4.0,5.0,6.0,7.0,9.0,8.0,6.0,5.0,4.0,10.0
176,4.0,2.0,3.0,7.0,6.0,8.0,5.0,3.0,1.0,2.0,8.0,7.0,9.0,4.0
177,6.0,7.0,8.0,9.0,5.0,4.0,3.0,7.0,8.0,9.0,6.0,4.0,2.0,5.0
178,6.0,7.0,8.0,5.0,9.0,4.0,3.0,8.0,6.0,9.0,4.0,7.0,5.0,10.0
179,6.0,8.0,7.0,4.0,9.0,5.0,10.0,8.0,6.0,9.0,3.0,7.0,4.0,10.0
180,2.0,1.0,3.0,8.0,4.0,5.0,6.0,7.0,8.0,9.0,2.0,6.0,3.0,10.0
181,4.0,2.0,3.0,9.0,8.0,1.0,5.0,3.0,2.0,4.0,8.0,9.0,1.0,5.0
182,6.0,2.0,4.0,7.0,8.0,3.0,1.0,8.0,9.0,7.0,3.0,6.0,5.0,10.0
183,6.0,8.0,7.0,3.0,9.0,4.0,5.0,7.0,6.0,8.0,4.0,7.0,5.0,9.0
184,8.0,9.0,7.0,4.0,5.0,2.0,6.0,9.0,8.0,8.0,3.0,6.0,1.0,9.0
185,6.0,8.0,7.0,2.0,9.0,5.0,4.0,8.0,9.0,6.0,1.0,7.0,3.0,5.0
186,6.0,4.0,5.0,8.0,7.0,3.0,2.0,8.0,9.0,7.0,6.0,5.0,4.0,10.0
187,2.0,4.0,3.0,1.0,8.0,6.0,5.0,7.0,9.0,8.0,2.0,6.0,4.0,10.0
188,4.0,3.0,2.0,1.0,6.0,9.0,8.0,7.0,6.0,4.0,2.0,5.0,8.0,9.0
189,4.0,6.0,2.0,3.0,5.0,9.0,1.0,3.0,7.0,5.0,4.0,6.0,8.0,2.0
190,6.0,4.0,7.0,8.0,9.0,5.0,2.0,8.0,6.0,9.0,7.0,8.0,3.0,4.0
191,4.0,6.0,7.0,5.0,8.0,2.0,9.0,3.0,5.0,8.0,6.0,9.0,1.0,10.0
192,4.0,8.0,2.0,6.0,7.0,3.0,1.0,5.0,9.0,4.0,2.0,8.0,6.0,10.0
193,4.0,3.0,2.0,6.0,7.0,8.0,5.0,6.0,8.0,9.0,3.0,4.0,2.0,10.0
194,2.0,1.0,3.0,4.0,5.0,6.0,8.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0
195,2.0,1.0,3.0,7.0,4.0,5.0,6.0,4.0,8.0,9.0,5.0,7.0,2.0,10.0
196,2.0,4.0,3.0,8.0,6.0,5.0,7.0,8.0,9.0,7.0,2.0,8.0,6.0,9.0
197,2.0,3.0,4.0,9.0,6.0,7.0,1.0,5.0,8.0,6.0,7.0,4.0,3.0,9.0
198,6.0,9.0,8.0,2.0,7.0,3.0,5.0,8.0,9.0,7.0,1.0,6.0,2.0,4.0
199,4.0,6.0,3.0,2.0,7.0,5.0,8.0,7.0,9.0,8.0,1.0,6.0,4.0,9.0
200,4.0,6.0,3.0,5.0,7.0,8.0,2.0,6.0,9.0,7.0,4.0,8.0,5.0,1.0
201,6.0,8.0,5.0,4.0,7.0,3.0,2.0,8.0,9.0,6.0,2.0,8.0,4.0,1.0
202,6.0,4.0,2.0,8.0,7.0,3.0,1.0,8.0,9.0,7.0,2.0,6.0,5.0,10.0
203,4.0,9.0,8.0,1.0,7.0,2.0,5.0,6.0,9.0,8.0,1.0,7.0,3.0,5.0
204,8.0,9.0,6.0,2.0,7.0,5.0,4.0,6.0,3.0,8.0,9.0,5.0,4.0,2.0
205,8.0,9.0,7.0,4.0,6.0,3.0,5.0,9.0,8.0,8.0,5.0,7.0,2.0,6.0
206,4.0,2.0,3.0,8.0,6.0,1.0,5.0,3.0,1.0,2.0,9.0,7.0,1.0,4.0
207,4.0,6.0,5.0,7.0,8.0,2.0,9.0,3.0,7.0,6.0,8.0,9.0,1.0,10.0
208,4.0,3.0,2.0,7.0,6.0,5.0,8.0,9.0,10.0,8.0,5.0,7.0,4.0,6.0
209,4.0,2.0,3.0,8.0,5.0,1.0,6.0,7.0,9.0,8.0,4.0,6.0,2.0,5.0
210,4.0,2.0,5.0,7.0,6.0,3.0,1.0,5.0,8.0,6.0,4.0,7.0,2.0,9.0
211,4.0,7.0,2.0,1.0,8.0,6.0,3.0,5.0,9.0,6.0,2.0,7.0,8.0,4.0
212,4.0,2.0,3.0,9.0,7.0,1.0,5.0,3.0,2.0,4.0,8.0,6.0,1.0,5.0
213,2.0,4.0,1.0,6.0,5.0,7.0,3.0,8.0,9.0,5.0,2.0,6.0,4.0,7.0
214,4.0,6.0,7.0,8.0,5.0,2.0,3.0,8.0,9.0,10.0,7.0,6.0,4.0,5.0
215,4.0,3.0,2.0,1.0,5.0,6.0,7.0,8.0,9.0,10.0,2.0,6.0,1.0,5.0
216,4.0,6.0,8.0,9.0,7.0,2.0,3.0,6.0,8.0,9.0,1.0,5.0,4.0,10.0
217,4.0,6.0,5.0,2.0,7.0,3.0,9.0,5.0,8.0,6.0,1.0,9.0,4.0,10.0
218,6.0,8.0,5.0,2.0,7.0,4.0,9.0,8.0,6.0,7.0,1.0,5.0,3.0,10.0
219,4.0,6.0,2.0,8.0,9.0,3.0,1.0,7.0,8.0,5.0,2.0,6.0,4.0,9.0
220,4.0,6.0,3.0,8.0,7.0,2.0,5.0,8.0,9.0,7.0,6.0,5.0,4.0,10.0
221,8.0,4.0,6.0,7.0,5.0,3.0,9.0,6.0,2.0,5.0,9.0,8.0,4.0,3.0
222,8.0,9.0,6.0,2.0,7.0,3.0,5.0,9.0,8.0,7.0,1.0,6.0,4.0,9.0
223,6.0,8.0,4.0,2.0,7.0,9.0,3.0,5.0,9.0,7.0,1.0,8.0,10.0,2.0
224,8.0,9.0,7.0,2.0,6.0,5.0,4.0,9.0,8.0,9.0,1.0,7.0,4.0,5.0
225,4.0,2.0,3.0,9.0,6.0,5.0,1.0,7.0,8.0,6.0,8.0,9.0,4.0,2.0
226,4.0,2.0,5.0,7.0,6.0,1.0,8.0,5.0,3.0,6.0,8.0,7.0,2.0,9.0
227,4.0,2.0,3.0,8.0,6.0,1.0,0.0,5.0,3.0,4.0,9.0,7.0,2.0,1.0
228,2.0,1.0,3.0,9.0,7.0,6.0,4.0,5.0,8.0,7.0,6.0,9.0,3.0,6.0
229,4.0,6.0,5.0,2.0,8.0,3.0,1.0,7.0,9.0,8.0,3.0,6.0,4.0,5.0
230,6.0,8.0,7.0,3.0,5.0,2.0,4.0,7.0,9.0,8.0,2.0,6.0,1.0,5.0
231,6.0,8.0,7.0,2.0,9.0,4.0,3.0,7.0,8.0,8.0,1.0,9.0,5.0,4.0
232,4.0,8.0,6.0,7.0,5.0,2.0,3.0,5.0,9.0,7.0,6.0,4.0,1.0,4.0
233,4.0,3.0,6.0,7.0,5.0,2.0,8.0,9.0,10.0,11.0,6.0,7.0,3.0,9.0
234,2.0,3.0,4.0,8.0,6.0,9.0,1.0,5.0,7.0,8.0,2.0,4.0,6.0,10.0
235,6.0,8.0,5.0,4.0,7.0,9.0,2.0,8.0,7.0,9.0,3.0,6.0,5.0,10.0
236,6.0,8.0,7.0,2.0,5.0,9.0,8.0,4.0,6.0,3.0,1.0,7.0,8.0,9.0
237,6.0,8.0,7.0,4.0,9.0,3.0,5.0,8.0,7.0,9.0,6.0,8.0,2.0,10.0
238,6.0,8.0,4.0,2.0,7.0,3.0,5.0,8.0,9.0,6.0,1.0,5.0,4.0,7.0
239,4.0,2.0,3.0,8.0,5.0,6.0,1.0,7.0,8.0,6.0,4.0,9.0,2.0,5.0
240,4.0,6.0,7.0,2.0,8.0,3.0,5.0,6.0,9.0,8.0,1.0,7.0,4.0,9.0
