Text,Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual,AAVE Line
"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone",4.0,2.0,1.0,0.0,6.0,7.0,3.0,Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
"So he posted a status that said \""lonely\"" and a modeljust messaged him",2.0,8.0,4.0,3.0,6.0,7.0,1.0,so he put a status that says lonely up and a modelhoe just hit him up...
The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.,4.0,2.0,1.0,3.0,6.0,8.0,5.0,The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.",4.0,3.0,2.0,8.0,6.0,7.0,9.0,So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix
"Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business",6.0,4.0,5.0,8.0,7.0,2.0,9.0,Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
Atlanta fans might as well clock out.. you already know theending to this story ..,2.0,1.0,3.0,8.0,6.0,9.0,4.0,"Atlanta fans might as well clock out.. You already know theending to this story ..."""
Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal,2.0,4.0,6.0,8.0,9.0,1.0,3.0,Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid,4.0,7.0,5.0,2.0,6.0,8.0,9.0,I wonder how much the person who is in charge of theobama twitter account gets paid
"And he said, \""My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle",4.0,6.0,8.0,7.0,5.0,3.0,0.0,And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
"You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye",6.0,8.0,4.0,2.0,7.0,3.0,0.0,you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
"Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely",8.0,9.0,7.0,2.0,8.0,4.0,0.0,yeah man they still the same just more turnt up now that we all grown and theycan say what they want
I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid,4.0,9.0,3.0,0.0,6.0,5.0,7.0,So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid
I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.,4.0,6.0,2.0,1.0,7.0,3.0,2.0,"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year."
"Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor",4.0,9.0,6.0,2.0,8.0,1.0,5.0,YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....
I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.,4.0,8.0,2.0,1.0,7.0,6.0,0.0,Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..
Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn,2.0,6.0,4.0,8.0,7.0,9.0,1.0,ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
"It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!",4.0,3.0,5.0,2.0,6.0,8.0,9.0,not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
"\""I know where you're from,\"" he said. \""You know him, look at my pic\""I just put up of him, brothe",4.0,2.0,3.0,7.0,6.0,5.0,1.0,ibknow where u from he said u know him look at my pic Ijust up of him bro
I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight,4.0,7.0,6.0,3.0,8.0,9.0,2.0,i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
"I really miss Pat and Maurice staying here, they used toaccept my offers all the time",6.0,8.0,7.0,2.0,4.0,5.0,0.0,Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
It is hard to be just be friends with someone you usedto be in love with,4.0,8.0,6.0,2.0,7.0,5.0,9.0,You really can't ever be just friends with someone you usedto be in love with.
"Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone",3.0,2.0,1.0,8.0,6.0,5.0,0.0,everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
"Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing",6.0,8.0,4.0,3.0,9.0,7.0,5.0,"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living...."
"Bad grammar is my pet peeve! Everyone needs help grammatically from time to time, butthat is what Google is for",7.0,6.0,5.0,9.0,8.0,4.0,0.0,"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!"
"I'm on the phone with my grandma and she keeps saying \""we're going to get off the phone now,\"" but then she keeps talking! Come on",4.0,2.0,1.0,3.0,5.0,6.0,0.0,Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
"So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.",2.0,1.0,4.0,6.0,3.0,7.0,0.0,So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.,7.0,4.0,6.0,2.0,8.0,3.0,5.0,Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(
"A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen",6.0,8.0,9.0,2.0,7.0,4.0,0.0,"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents."
"Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.",6.0,8.0,4.0,1.0,7.0,9.0,2.0,Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
"You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.",8.0,4.0,7.0,6.0,5.0,2.0,9.0,"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay."
I’m going to let you all know soon and you are coming even if I have to drag you out of the house.,4.0,6.0,5.0,8.0,7.0,2.0,9.0,imma let y'all know soon and you coming if I have todrag u out the house
"I tried to feed you boys, now it's time foryou boys to go to be",4.0,6.0,2.0,1.0,8.0,9.0,0.0,I try to let u pussy niggas eat its time to putu pussy boys to sleep
That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.,2.0,3.0,2.0,6.0,7.0,9.0,1.0,But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with,4.0,2.0,6.0,7.0,5.0,3.0,8.0,He mad He came over My House unannounced and I wasgone. Not My Problem !
I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely,4.0,2.0,1.0,7.0,6.0,9.0,0.0,I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
"With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.",2.0,6.0,4.0,8.0,7.0,9.0,3.0,with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
"If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve",8.0,4.0,7.0,6.0,5.0,2.0,9.0,if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
"If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow",4.0,6.0,5.0,2.0,7.0,8.0,3.0,"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol"
What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head,4.0,2.0,5.0,8.0,6.0,9.0,3.0,Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.,6.0,7.0,4.0,0.0,8.0,9.0,0.0,Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
"Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up",7.0,4.0,3.0,2.0,6.0,8.0,0.0,So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere,6.0,4.0,5.0,3.0,7.0,2.0,8.0,I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
I know how to work the system. The clothes I bring in look better than what they haveon their backs now.,4.0,3.0,8.0,6.0,7.0,9.0,2.0,I know how to work the system the clothes I bring in looks better than what they haveon their backs how
Gatorade and Powerade used to be so nasty to me butnow I love that shit.,6.0,9.0,5.0,2.0,8.0,7.0,3.0,Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
"That’s funny. I had to go see this tweet for myself. It’s ashame it’s the truth, though.",4.0,6.0,7.0,8.0,9.0,3.0,2.0,lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho
"Or go to food services, but either way, corporate needs to send them some damn sauce",4.0,6.0,5.0,8.0,7.0,3.0,0.0,or go to food services but either way corporate need tosend them some damn sauce
I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.,8.0,9.0,7.0,4.0,8.0,6.0,8.0,I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
"In NCAAB, Texas A&M Elston Turner scores 40 points in an 83-71 win by Kentucky. It was the first SEC homeloss for John Calipari.",4.0,6.0,5.0,8.0,7.0,9.0,10.0,NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose
My mother disappoints me sometimes...why does my lifehave to be harder? gosh.,4.0,8.0,6.0,2.0,9.0,7.0,3.0,My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn
I got the jack. What else do I need? I need sugar and pebbles.That is in it,4.0,6.0,3.0,8.0,5.0,7.0,2.0,I got the jack wat else I need sugar wats dem pebblesthat be in that shit
"I'm tired of so many people. \""I\""m so shady\"" \""Hi! What's going on?\"" I'm at theABC store with it. I'm going to talk to you.",4.0,2.0,3.0,7.0,6.0,8.0,0.0,"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla"
"Ten dollars for a call from jail. This shit is over with. See you when you come home, brother.",4.0,2.0,1.0,6.0,5.0,7.0,0.0,Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro
"I think there is a raccoon or possum walking around in my house, I'mreally scared right no",4.0,3.0,2.0,6.0,9.0,7.0,0.0,I think it's a raccon or possum walkin round my house I'mscared ass shit rite now
People's whose kids are named after stores aren't going to be able to spell their names until they're twelve...and write their name in cursiveuntil they're like twenty. I'm shaking my head.,4.0,8.0,6.0,7.0,9.0,3.0,2.0,Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh
The two for ten deal at Friday's is worth it because the food is served quickly because fast food restaurants want to servetrash food quickly for ten dollars.,2.0,1.0,3.0,4.0,5.0,8.0,1.0,2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash
People's meals on instagram look like some real trash. Keep that shit in your house!,4.0,3.0,2.0,7.0,6.0,5.0,0.0,Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!
I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.,4.0,7.0,6.0,3.0,8.0,9.0,2.0,Bout to see like 40 plates on the gram get meheated I'm starving like shit
"Boy, you have two different females texting you. So I'm going to havetwo different men texting me.",2.0,6.0,4.0,7.0,8.0,3.0,9.0,"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME."
70 degrees in Nashville. About to take a trip and then heading to the bar to get drunk. After that I will be.,4.0,3.0,5.0,6.0,7.0,8.0,2.0,70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .
"In the same way, they announced the arrival of my train after itpulled off, I'm so not happy",2.0,3.0,1.0,8.0,6.0,4.0,9.0,"Continuing the same way, they announced the arrival of my train after itpulls off, so not happy"
"A.J., have you ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them. Trust me",2.0,3.0,4.0,8.0,5.0,6.0,1.0,"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me."
I had no choice! I was already all into the television showand couldn't look away. I'm laughing!,4.0,8.0,6.0,2.0,9.0,3.0,5.0,i had no choice ! Like i was already all into the tvand couldn't look away lol
"Soon the people that don't play basketball are going to say that Griner could play in the NBA, when she actually couldn't make a division 1 or a division 2 team.",4.0,3.0,6.0,8.0,5.0,2.0,1.0,Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.
"Middle age buddy that shovel that is for his ride and had a bad day going to be onsome bus driver stuff, that's funny",4.0,6.0,2.0,7.0,5.0,3.0,0.0,middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol
"Sadly, so many high schools have crippled these players academically, that even JUCO is hard for them.",6.0,8.0,7.0,5.0,9.0,3.0,8.0,Sadly so many HS has crippled these players academically that evenJUCO is hard for them...
Tell them what happened to the mouse in the house the next next play though. (Then askwho won all the games).,3.0,6.0,5.0,7.0,8.0,9.0,10.0,tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)
Once I am able to escape this competitive struggle for wealth and power I will be taking daytime naps and I will go to the chiropractor.,4.0,8.0,7.0,6.0,9.0,10.0,8.0,I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...
I'm sick of going to this dealership when random lights go out. However I do lovea free truck wash.,6.0,4.0,5.0,7.0,8.0,9.0,3.0,Sick of going to this dealership for random lights going out...BUT I do lovea free truck wash. *bling*
Half of what you want is better than zero of what you want. But it's mean if vocalized.,6.0,3.0,4.0,8.0,5.0,2.0,0.0,1/2 of what you want > Zero of what you want.But its mean if vocalized
"Bill collectors take fractions of debt on the dollar sometimes, and I don't expect you toagree about the RS, man.",6.0,3.0,4.0,8.0,7.0,9.0,2.0,Bill collectors take fractions of debt on the dollar sometimes...and I don't expect u 2agree about the RS ish...
Fucking where is it? So it's a store that will sell you fourfifths of Patron for $49.99.,4.0,2.0,1.0,8.0,6.0,7.0,0.0,Fucking WhERE?!!!! T So its a store that will sell U 4fifth of Patron for 49.99
Immediately go back to the hotel and hope you don't have too many jerks on your team that play the replay on their ipads.,4.0,2.0,1.0,8.0,6.0,9.0,0.0,immediately go back to hotel and hope u aint got TOO many jerks on ur team dat playthe replay on they ipads.
On the way to the gym to sweat the rest of this bug out. I can't beconducting workshops looking sick.,6.0,8.0,4.0,2.0,7.0,9.0,1.0,On way 2 gym to sweat the rest of this bug out...can't beconducting workshops looking all sick
We're not going for that family. My kid is going to get all the cool shit...because Daddy and Mommy work hard as shit for it.,6.0,4.0,5.0,7.0,3.0,2.0,0.0,we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.
Yeah you know with Groupon they just give you that moneyback to get something else,6.0,2.0,3.0,1.0,4.0,8.0,7.0,yea u know with groupon they jus give u dat breadback to get sumthing else...
So the other business units are sending emails to IT while weare in conference because they are out. I'm shaking my head.,2.0,3.0,1.0,4.0,6.0,5.0,8.0,Sooo the other business units sending emails to IT while wein conference cuz they out...smh
In three years do you have the ability to do the same thing you are doing now.If you do not you are wasting your time,6.0,4.0,5.0,2.0,7.0,3.0,9.0,Can you do what you doing right now...3 years from now?If not your wasting time.
"Every time I ask for a cup of water at a fast food restaurant, I always fill it up with soda.",2.0,1.0,3.0,4.0,5.0,6.0,0.0,Everytime I ask for a cup for water at a fastfood Joint...I alwaysfill it up with pop
I hate the little sign on my phone that says I' have a voicemail...I hate the red light on my workphone when I have a voicemail.,4.0,8.0,6.0,2.0,7.0,9.0,5.0,I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my workphone when I gotta Vmail.
"I'm more of the service-at-a-soup-kitchen, paint-a-school type of community service kind ofguy. I'm not a role model.",6.0,8.0,4.0,2.0,7.0,5.0,0.0,I'm more of the service at a soup kitchen..Paint a School type of Community Service kindaguy...I'm not a role model.
I have been on auto pay forever. I got one percent inapr deduction because of it.,4.0,2.0,1.0,6.0,5.0,8.0,3.0,I been on auto pay since foreva! Got some 1percent inapr deduction cuz of it.
"I couldn't do anything by laugh...she was dead serious and smiled in my face like \""yeahman, you see it\"". It was funny.",2.0,8.0,6.0,1.0,7.0,4.0,9.0,"I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yeanigga u see it"" lol"
"Then she is so gangster. She ends the conversation, looks at me for a little bit, and then opens up this bible pamphlet",3.0,4.0,2.0,6.0,5.0,1.0,8.0,Den she so gangsta...she ends convo looks at me for little bite denopens up this bible pamphlet!!!
"I didn't speak about Lillard because I never mentioned him. I spoke about AD and Barnes Like I expected, Barnes isgoing to take it well.",8.0,9.0,7.0,6.0,8.0,5.0,9.0,I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected isgonna be a good pro
That's a recipe for disaster. A woman that won't shut up or sit down. When is that ever going to getwins? It's less extreme ways.,6.0,4.0,5.0,8.0,9.0,2.0,7.0,that's a recipe for disaster. A woman that won't shut up or sit down. When is that ever gonna getwins? Its less extreme ways.
"How is that funny? Maybe interaction with you is more immediately satisfying than those causes...wearen't all that self righteous, brother.",6.0,8.0,7.0,4.0,9.0,5.0,0.0,how is that funny? Maybe interaction with you is more immediatly satisfying that those causes...weall aint self righteous bruh
It helps by showing you can be responsible for yourself and that'sthe first step before unity.,7.0,8.0,6.0,4.0,9.0,2.0,10.0,it helps by showin u can be responsible for SELF and thatsthe 1st step before unity.
And that's just one scenario...it's a mile more ...hence why the bases should be..Be a responsible person. Period.,6.0,8.0,7.0,3.0,4.0,2.0,9.0,and thats just one scenrio....its a mille more...hence why the bases shouldbe ...BE A RESPONSIBLE PERSON..Period
"How do you understand an analogy, but yet not understand it at the same time? OK. Let me try this. You're not a dad. Do you think you can speakabout it to dad?",2.0,6.0,4.0,1.0,8.0,5.0,9.0,how do u understand an analogy and not at same time? Ok lemme try this...ur not a dad...do u think u can speakon it 2 a dad?
I was showing all types of baby thigh meat in high school. Now her future kidscan't be all fast. It's funny.,3.0,2.0,1.0,7.0,6.0,5.0,0.0,was showing all types of baby thigh meat in HS now her future kidscan't be alil fast lol
Attention is a hell of a drug though. And goofy people are raising the priceof it faster than gold.,6.0,7.0,4.0,8.0,9.0,2.0,5.0,Attn is a helleva drug tho...and goofy mogs is raising the priceof it faster than Gold.
"Repeating the last three words of my questions back to medoes nothing you know, that's funny",2.0,4.0,6.0,0.0,3.0,7.0,1.0,repeating the last 3 words of my questions back to medoes nuthing ya know lol
"Pho craving, Mekong Delta closed Mondays, so I made a faux pho with ramen noodles (all Eddie's has). It's notDelta, but I'm pleasantly surprised",6.0,8.0,7.0,2.0,9.0,4.0,6.0,"Pho craving, Mekong Delta closed Mondays so I made faux pho w/ ramen noodles (all eddies has). It's notDelta, but i'm pleasantly surprised."
"Oh I don't know, maybe they are are. But they are usually closed Mondays, which is when I usually want pho.",6.0,8.0,4.0,0.0,7.0,9.0,5.0,"oh i dunnno, maybe they are. But they are usually closed mondays, which iswhen I usually want pho"
I just had a great conversation with Old Baltimore about how he used toget drinks at The Stafford,4.0,8.0,7.0,2.0,6.0,5.0,9.0,Just had a great conversation with old baltimore about how he used toget drinks at the Stafford.
"There should be an \""En Fuego\"" documentary. What was in that burrito thatmade it taste so good",4.0,8.0,6.0,3.0,7.0,5.0,2.0,there should be an en fuego documentary. What was in that burrito thatmade it taste so good?
"With that being said, what do I want more? A nice body or nice hair? Because it's clear I can't have it all. That's funny.",6.0,8.0,9.0,2.0,7.0,4.0,10.0,"With that being said...what do i want more, a nice body or nice hair, cuz it's clear ican't have it all lol"
I'm all for my friends and family leaving Chicago. All I ask is for them to make it a place I can visit.,8.0,9.0,7.0,0.0,6.0,5.0,10.0,Im all for my ppl leaving Chicago. All I ask is make it aplace I can visit. .
I just found out that my auntie is barbecuing and my fat ass just ate. I'm headed to go get a rib.,2.0,6.0,1.0,8.0,7.0,9.0,4.0,Just found out that my auntie BBQ and my fat ass just ate. I'm headed togo get me a rib
I think I'm going to make a trip up to Roosevelt...Just to see if anything changed.,6.0,8.0,5.0,1.0,7.0,4.0,9.0,I think in going to make a trip up to Roosevelt... Justto see if anything changed
"I was a little crank. That's funny. I haven't been getting any sleeplately, but I'm straight now.",4.0,8.0,6.0,2.0,7.0,9.0,5.0,I was a little cranky lol. I haven't been gettin any sleeplately but I'm str8 now
"Did anyone hear the Momma Dee commercial on 107.5? Why did she say, \""Whenever I'm...In the state of Detroit\""",3.0,2.0,1.0,4.0,6.0,5.0,0.0,"Did anybody hear Momma Dee commercial on 107.5.???? Why did she say ""Whenever I'min the State of Detroit"""
I'm a full time worker and a full time student...do I really have timefor a boyfriend? Uh no.,6.0,8.0,7.0,3.0,9.0,2.0,8.0,I'm a full time worker and a full time student.... Do I really have timefor a boyfriend.??? Uhhhhhh.... NO
"Reading through Neh 12 this morning with my friend, Joshua. He spit up while I was reading the names ofthe priests & Levites. Hmmm..",2.0,3.0,4.0,6.0,7.0,1.0,8.0,"Reading through Neh 12 this morning with my man, Joshua. He spit up while I was reading the names ofthe priests & Levites. Hmmm..."
Don't miss the kickoff of our new series The Red Letters! Nine and ten thirty this morningat Greater Gresham Baptist Church.,6.0,8.0,2.0,1.0,4.0,9.0,5.0,"Don""t miss the kickoff of our new series The Red Letters! 9 & 10:30 this morningat Greater Gresham Baptist Church"
"the message \""I will give you rest\"" must have worked last night. I found a stress ball under a chair in the worship center this morning",6.0,8.0,7.0,0.0,9.0,8.0,0.0,"'s message ""I will give you rest"" must of worked last night - found stress ball under a chair inthe worship center this morning."
"Spire installed on New York's One World Trade Center brings it to 1,776 feet, tallest buildingin Western Hemisphere.\"" -- CN",2.0,6.0,4.0,8.0,7.0,1.0,0.0,"""Spire installed on New York's One World Trade Center brings it to 1,776 feet, tallest buildingin Western Hemisphere."" -- CNN"
"If you ever have the time to message me back, because everyone says I sound like both of you when I rap. I just want to talk.",6.0,9.0,4.0,2.0,8.0,3.0,0.0,if you everhave the time to message me back because everyone says I sound like the both of you when Irap just want to talk
That moment when someone is trying to hit on you... and you tell them that you're a lesbian and theytry even harder? What the heck,6.0,4.0,7.0,8.0,6.0,2.0,8.0,that moment wen sumone tryna talk to yhu ....nd yhu tell them yhu a lesbian nd theytry even harder! like wtf.!
"Brian, would you consider being in a long distance relationship if you were interested in that person.",8.0,9.0,7.0,2.0,6.0,4.0,8.0,Brian would you consider being in a long distance relationship if youwere interested in that person
I have been waiting on a new debit card all week! It seems like it goes slower when they know you have money to spend.,4.0,6.0,2.0,8.0,7.0,9.0,1.0,I been waiting on a new debit card all week! Seem like it goes slower when they knowyou got money to spend
